symbol,timeframe,leg,trend_regime,vol_regime,n_trades,mean_final_R_gross,sharpe_R_gross,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_t_MFE,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
BTCUSD,8H,all,all,all,138,1.5033791120497197,0.14157086906748337,0.4332176282261919,1.957882173423081,8.120731574376205,-0.5227696536783798,1.0,0.9347826086956522,0.0,0.057971014492753624,0.007246376811594203
BTCUSD,8H,long,all,all,57,3.4124622207402857,0.22102647480296084,0.5303533675626814,4.574737745193621,16.03085939248007,-0.5653881002718283,1.0,0.8771929824561403,0.0,0.10526315789473684,0.017543859649122806
BTCUSD,8H,short,all,all,81,0.15995025778598726,0.034229897889067815,0.3993024016277215,1.0400782771281578,3.890510825725226,-0.5179907887161771,1.0,0.9753086419753086,0.0,0.024691358024691357,0.0
BTCUSD,8H,all,above_ma,all,44,4.7633224297327645,0.27379212371489337,0.502725431575618,5.025860603950109,24.09759536639413,-0.4902685164343751,1.0,0.8181818181818182,0.0,0.1590909090909091,0.022727272727272728
BTCUSD,8H,all,below_ma,all,94,-0.022551802610429265,-0.0052020913491926364,0.38470366928726774,1.4551991892874343,4.393470226431407,-0.542461494633232,1.0,0.9893617021276596,0.0,0.010638297872340425,0.0
BTCUSD,8H,all,all,high_vol,52,0.008317950278307985,0.002588685685063155,0.4022012892450153,1.0025899525504873,2.224195960898101,-0.5020326709426208,1.0,0.9807692307692307,0.0,0.0,0.019230769230769232
BTCUSD,8H,all,all,medium_vol,50,-0.06859415885880937,-0.035439417367345225,0.4959050120752227,3.8733490623198343,10.961364785658313,-0.5075823086373555,1.0,0.94,0.0,0.06,0.0
BTCUSD,8H,all,all,low_vol,36,5.846208110870271,0.29420296602096146,0.3995005896802185,2.893358518968316,27.42434709606804,-0.5663325273227713,1.0,0.8611111111111112,0.0,0.1388888888888889,0.0
BTCUSD,8H,long,above_ma,all,18,12.17031035834494,0.4720642962379544,8.797490597945213,24.15640974804662,40.364691911791176,-0.48050708992328267,21.5,0.6111111111111112,0.0,0.3333333333333333,0.05555555555555555
BTCUSD,8H,long,below_ma,all,39,-0.6296215350772465,-0.691244300212281,0.3638023210327241,1.4703209250724558,4.588749816611979,-0.6665584151985084,1.0,1.0,0.0,0.0,0.0
BTCUSD,8H,short,above_ma,all,26,-0.36459229007566496,-0.27300783878100543,0.4332176282261919,0.928732444173188,2.8571134925890824,-0.5191272689159335,1.0,0.9615384615384616,0.0,0.038461538461538464,0.0
BTCUSD,8H,short,below_ma,all,55,0.40791582586604086,0.07287956572545781,0.39032767102943,1.4362428101517843,3.93851193988183,-0.5179907887161771,1.0,0.9818181818181818,0.0,0.01818181818181818,0.0
BTCUSD,8H,long,all,high_vol,16,0.9717147936841951,0.16834490281006148,1.1739378342562317,2.1522603494028543,6.9083553281598125,-0.4902685164343751,1.5,0.9375,0.0,0.0,0.0625
BTCUSD,8H,long,all,medium_vol,19,0.16330725781808686,0.058421782153063824,1.1848460314358242,6.203778149178351,10.993744516534699,-0.6665584151985084,1.0,0.8947368421052632,0.0,0.10526315789473684,0.0
BTCUSD,8H,long,all,low_vol,22,7.993639635668433,0.3350890986336768,0.2931623377721132,3.706818123400626,27.908723880567795,-0.5567297030948979,1.0,0.8181818181818182,0.0,0.18181818181818182,0.0
BTCUSD,8H,short,all,high_vol,36,-0.419858424568753,-1.0752228081957889,0.3159029113212931,0.6998874583362914,1.2571169227756211,-0.5136128953603938,1.0,1.0,0.0,0.0,0.0
BTCUSD,8H,short,all,medium_vol,31,-0.2107272852091651,-0.17966103785713705,0.4162243505243615,2.8571134925890824,5.792683882904492,-0.489950188397513,1.0,0.967741935483871,0.0,0.03225806451612903,0.0
BTCUSD,8H,short,all,low_vol,14,2.4716728576160136,0.2221672137255704,0.6296074080450327,2.5196574887092864,3.6673378787727615,-0.5830123908173142,1.0,0.9285714285714286,0.0,0.07142857142857142,0.0
